Address,,Holders,Balance,Eth,EntriesRaw,Entries
0x050a9d18368e771c8ab10245e90a71cafe70bdcd,,0x050a9d18368e771c8ab10245e90a71cafe70bdcd,2.50E+17,0.25,2.5,2
0x050a9d18368e771c8ab10245e90a71cafe70bdcd,,0x091f1283852040c16ccaa59daf1512fdd51ea7f4,1.03E+17,0.103036876,1.03,1
0x091f1283852040c16ccaa59daf1512fdd51ea7f4,,0x0a189c5da209063fb07c44ab7d16d51759b93934,1.00E+17,0.100122804,1,1
0x0a189c5da209063fb07c44ab7d16d51759b93934,,0x0c1ea021cd1f4d92059b79a0eb29d99eae37f725,8.50E+17,0.85,8.5,8
0x0c1ea021cd1f4d92059b79a0eb29d99eae37f725,,0x0d2e3c4117abdeb3bbd1f1feefed1755b22c650a,1.21E+17,0.12104214,1.21,1
0x0c1ea021cd1f4d92059b79a0eb29d99eae37f725,,0x1399660fdc37fde8cfb9272eaf2703289b0a1b81,5.00E+17,0.5,5,5
0x0c1ea021cd1f4d92059b79a0eb29d99eae37f725,,0x142b04a5c9da4878b9924345bb7d940e5a152f0f,1.00E+17,0.1,1,1
0x0c1ea021cd1f4d92059b79a0eb29d99eae37f725,,0x182f8723b57ea3caf8b31c38bf5538987506e5ad,1.00E+17,0.1,1,1
0x0c1ea021cd1f4d92059b79a0eb29d99eae37f725,,0x1e3bfabd015d603a96a53ba02030ba831c7aaf55,1.00E+17,0.1,1,1
0x0c1ea021cd1f4d92059b79a0eb29d99eae37f725,,0x208b0909f4c3e986736aecca6d1a271a0cdbf1ff,1.00E+17,0.1,1,1
0x0c1ea021cd1f4d92059b79a0eb29d99eae37f725,,0x23436f3ce94d5cae16665d1aab917e59d97d7da7,2.50E+17,0.25,2.5,2
0x0c1ea021cd1f4d92059b79a0eb29d99eae37f725,,0x23587ecd04c178a21163502969e87d4c77041810,1.24E+17,0.124068193,1.24,1
0x0d2e3c4117abdeb3bbd1f1feefed1755b22c650a,,0x25ed05666bb554eaf183f3729b903907d3080ccf,1.10E+17,0.11,1.1,1
0x1399660fdc37fde8cfb9272eaf2703289b0a1b81,,0x2be5c68ecb538f7b7dba17b7e603f0e66e19665d,1.00E+17,0.1,1,1
0x1399660fdc37fde8cfb9272eaf2703289b0a1b81,,0x2d050ca917829f700cf7f3d19df48695b8a3a3a4,1.50E+17,0.15,1.5,1
0x1399660fdc37fde8cfb9272eaf2703289b0a1b81,,0x3653d92607cfbba5a7fd291af793b3d569fc98e1,1.05E+18,1.05,10.5,10
0x1399660fdc37fde8cfb9272eaf2703289b0a1b81,,0x38ecac201fcbe93bc84ecb6a5e986f0986213eae,4.68E+17,0.467910641,4.68,4
0x1399660fdc37fde8cfb9272eaf2703289b0a1b81,,0x3df710c1c50dba107ea04318dabc52181f342406,5.00E+17,0.50037,5,5
0x142b04a5c9da4878b9924345bb7d940e5a152f0f,,0x3e34d84a4cb458e2d8f88ab1038a8d2f04473260,1.01E+17,0.100739022,1.01,1
0x182f8723b57ea3caf8b31c38bf5538987506e5ad,,0x3e5e7b957efca8fd26b5b510c5c716ab514f8c41,1.02E+17,0.102,1.02,1
0x1e3bfabd015d603a96a53ba02030ba831c7aaf55,,0x3fc69c9773a7beaca1d1adc08ada6c5d2c9103b9,1.20E+18,1.2,12,12
0x208b0909f4c3e986736aecca6d1a271a0cdbf1ff,,0x417f20de717caf7495d560bc6d4c4db59bcc9a0b,1.00E+17,0.1,1,1
